"filename", "language", "SCSS", "TypeScript", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.scss", "SCSS", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.ts", "TypeScript", 0, 161, 0, 0, 0, 10, 39, 210
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.html", "HTML", 0, 0, 36, 0, 0, 1, 7, 44
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.scss", "SCSS", 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.ts", "TypeScript", 0, 108, 0, 0, 0, 4, 16, 128
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.module.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 5, 39
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.routing.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.html", "HTML", 0, 0, 64, 0, 0, 18, 11, 93
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.scss", "SCSS", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.ts", "TypeScript", 0, 39, 0, 0, 0, 3, 10, 52
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.html", "HTML", 0, 0, 75, 0, 0, 16, 11, 102
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.scss", "SCSS", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.html", "HTML", 0, 0, 326, 0, 0, 16, 10, 352
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.ts", "TypeScript", 0, 377, 0, 0, 0, 6, 22, 405
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\lol.html", "HTML", 0, 0, 45, 0, 0, 0, 4, 49
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.module.ts", "TypeScript", 0, 25, 0, 0, 0, 1, 5, 31
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.routing.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 4, 23
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.html", "HTML", 0, 0, 8, 0, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.html", "HTML", 0, 0, 6, 0, 0, 3, 1, 10
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.html", "HTML", 0, 0, 35, 0, 0, 0, 8, 43
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.scss", "SCSS", 29, 0, 0, 0, 0, 0, 9, 38
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.ts", "TypeScript", 0, 50, 0, 0, 0, 1, 19, 70
"c:\Users\aymen\Desktop\main\src\app\pages\pages.module.ts", "TypeScript", 0, 23, 0, 0, 0, 1, 2, 26
"c:\Users\aymen\Desktop\main\src\app\pages\pages.routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.html", "HTML", 0, 0, 50, 0, 0, 0, 7, 57
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 7, 21
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.html", "HTML", 0, 0, 138, 0, 0, 15, 9, 162
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.scss", "SCSS", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.ts", "TypeScript", 0, 70, 0, 0, 0, 11, 19, 100
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.html", "HTML", 0, 0, 155, 0, 0, 21, 9, 185
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 5, 42
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.html", "HTML", 0, 0, 174, 0, 0, 0, 7, 181
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.html", "HTML", 0, 0, 175, 0, 0, 0, 7, 182
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.ts", "TypeScript", 0, 12, 0, 0, 0, 3, 4, 19
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.module.ts", "TypeScript", 0, 33, 0, 0, 0, 2, 5, 40
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.routing.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 3, 37
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.html", "HTML", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\aymen\Desktop\main\src\app\services\nav.service.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\aymen\Desktop\main\src\assets\i18n\de.json", "JSON", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\en.json", "JSON", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\es.json", "JSON", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\i18n\fr.json", "JSON", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\images\backgrounds\login-bg.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\logos\dark-logo.svg", "XML", 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\images\logos\lol.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\svgs\facebook-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\assets\images\svgs\google-icon.svg", "XML", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\aymen\Desktop\main\src\assets\scss\_container.scss", "SCSS", 68, 0, 0, 0, 0, 0, 18, 86
"c:\Users\aymen\Desktop\main\src\assets\scss\_variables.scss", "SCSS", 42, 0, 0, 0, 0, 8, 13, 63
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_grid.scss", "SCSS", 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_mixins.scss", "SCSS", 63, 0, 0, 0, 0, 2, 15, 80
"c:\Users\aymen\Desktop\main\src\assets\scss\grid\_variables.scss", "SCSS", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_border.scss", "SCSS", 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_color.scss", "SCSS", 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_custom-flex.scss", "SCSS", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_display.scss", "SCSS", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_flexbox.scss", "SCSS", 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_functions.scss", "SCSS", 8, 0, 0, 0, 0, 1, 3, 12
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_icon-size.scss", "SCSS", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_index.scss", "SCSS", 44, 0, 0, 0, 0, 2, 8, 54
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_rounded.scss", "SCSS", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_spacing.scss", "SCSS", 121, 0, 0, 0, 0, 0, 3, 124
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_text.scss", "SCSS", 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\aymen\Desktop\main\src\assets\scss\helpers\_variables.scss", "SCSS", 71, 0, 0, 0, 0, 6, 14, 91
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_header.scss", "SCSS", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_layouts.scss", "SCSS", 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_sidebar.scss", "SCSS", 65, 0, 0, 0, 0, 0, 11, 76
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_transitions.scss", "SCSS", 10, 0, 0, 0, 0, 2, 4, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_borderColor.scss", "SCSS", 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_buttons.scss", "SCSS", 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_card.scss", "SCSS", 34, 0, 0, 0, 0, 2, 8, 44
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_checkbox.scss", "SCSS", 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_drawer.scss", "SCSS", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_form.scss", "SCSS", 23, 0, 0, 0, 0, 1, 6, 30
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_list.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_materialoverrides.scss", "SCSS", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_table.scss", "SCSS", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\aymen\Desktop\main\src\assets\scss\overrides\_typography.scss", "SCSS", 55, 0, 0, 0, 0, 1, 9, 65
"c:\Users\aymen\Desktop\main\src\assets\scss\pages\_auth.scss", "SCSS", 65, 0, 0, 0, 0, 0, 8, 73
"c:\Users\aymen\Desktop\main\src\assets\scss\pages\_dashboards.scss", "SCSS", 105, 0, 0, 0, 0, 1, 8, 114
"c:\Users\aymen\Desktop\main\src\assets\scss\style.scss", "SCSS", 16, 0, 0, 0, 0, 3, 8, 27
"c:\Users\aymen\Desktop\main\src\assets\scss\themecolors\_default_theme.scss", "SCSS", 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\aymen\Desktop\main\src\index.html", "HTML", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\aymen\Desktop\main\src\main.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\aymen\Desktop\main\src\styles.scss", "SCSS", 2, 0, 0, 0, 0, 1, 2, 5
"Total", "-", 1309, 1942, 1552, 28, 16, 233, 735, 5815
